ISAR;GS;contact;(shetland;island);;;;
Observer:;Shetland_Islands;;;;;;;
;;;;;;;;
Start;Time;(UTC);;Stop;Time;(UTC);;Duration (s)
3;Sep;2023;19:28:48;3;Sep;2023;19:33:12;263.5404528
4;Sep;2023;04:57:03;4;Sep;2023;04:59:02;119.8507436
4;Sep;2023;06:28:33;4;Sep;2023;06:33:00;267.4822795
4;Sep;2023;18:30:58;4;Sep;2023;18:35:14;256.2049996
4;Sep;2023;20:04:31;4;Sep;2023;20:07:00;148.7681562
5;Sep;2023;05:30:36;5;Sep;2023;05:34:56;259.6586515
5;Sep;2023;07:03:46;5;Sep;2023;07:06:18;152.0385402
5;Sep;2023;19:05:10;5;Sep;2023;19:09:44;273.5774332
6;Sep;2023;06:04:49;6;Sep;2023;06:09:26;277.3201696
6;Sep;2023;18:07:22;6;Sep;2023;18:11:16;233.7264549
6;Sep;2023;19:40:10;6;Sep;2023;19:43:29;199.7082632
7;Sep;2023;05:06:46;7;Sep;2023;05:10:43;237.1635861
7;Sep;2023;06:39:25;7;Sep;2023;06:42:49;203.9465483
7;Sep;2023;18:40:58;7;Sep;2023;18:45:35;277.0647942
8;Sep;2023;05:40:30;8;Sep;2023;05:45:10;280.3390095
8;Sep;2023;17:43:16;8;Sep;2023;17:46:34;197.6018929
8;Sep;2023;19:15:19;8;Sep;2023;19:19:14;234.4039746
9;Sep;2023;04:42:23;9;Sep;2023;04:45:44;201.4095637
9;Sep;2023;06:14:34;9;Sep;2023;06:18:33;238.73888
9;Sep;2023;18:16:13;9;Sep;2023;18:20:46;273.044766
10;Sep;2023;05:15:35;10;Sep;2023;05:20:10;275.6480981
10;Sep;2023;17:18:46;10;Sep;2023;17:21:01;135.2658299
10;Sep;2023;18:49:56;10;Sep;2023;18:54:14;258.0623591
11;Sep;2023;04:17:31;11;Sep;2023;04:19:53;141.0453383
11;Sep;2023;05:49:08;11;Sep;2023;05:53:30;261.9668585
11;Sep;2023;17:50:54;11;Sep;2023;17:55:14;259.8205698
11;Sep;2023;19:24:35;11;Sep;2023;19:26:47;131.5269319
12;Sep;2023;04:50:03;12;Sep;2023;04:54:25;261.6199741
12;Sep;2023;06:23:16;12;Sep;2023;06:25:32;136.2346406
12;Sep;2023;18:23:58;12;Sep;2023;18:28:30;272.122548
13;Sep;2023;05:23:05;13;Sep;2023;05:27:41;275.2115498
13;Sep;2023;17:25:01;13;Sep;2023;17:28:55;234.2833416
13;Sep;2023;18:57:46;13;Sep;2023;19:01:04;197.6581825
14;Sep;2023;04:23:54;14;Sep;2023;04:27:50;235.2321175
14;Sep;2023;05:56:29;14;Sep;2023;05:59:51;202.2509011
14;Sep;2023;17:57:25;14;Sep;2023;18:02:01;276.5258091
15;Sep;2023;04:56:24;15;Sep;2023;05:01:03;278.488037
15;Sep;2023;16:58:37;15;Sep;2023;17:01:47;189.5873533
15;Sep;2023;18:30:28;15;Sep;2023;18:34:26;238.1078861
16;Sep;2023;03:57:11;16;Sep;2023;04:00:21;189.7878533
16;Sep;2023;05:29:11;16;Sep;2023;05:33:13;242.0388636
16;Sep;2023;17:30:15;16;Sep;2023;17:34:45;270.0987905
17;Sep;2023;04:29:03;17;Sep;2023;04:33:34;270.6622279
17;Sep;2023;16:31:54;17;Sep;2023;16:33:33;99.5554969
17;Sep;2023;18:02:36;17;Sep;2023;18:06:59;263.0105592
18;Sep;2023;03:30:03;18;Sep;2023;03:31:43;99.60417647
18;Sep;2023;05:01:16;18;Sep;2023;05:05:42;265.7853449
18;Sep;2023;17:02:30;18;Sep;2023;17:06:40;250.1647603
18;Sep;2023;18:35:42;18;Sep;2023;18:38:24;162.4261514
19;Sep;2023;04:01:02;19;Sep;2023;04:05:12;249.0678592
19;Sep;2023;05:33:53;19;Sep;2023;05:36:40;167.5222246
19;Sep;2023;17:34:06;19;Sep;2023;17:38:41;274.6506678
20;Sep;2023;04:32:40;20;Sep;2023;04:37:16;275.8407859
20;Sep;2023;16:34:09;20;Sep;2023;16:37:40;210.7150994
20;Sep;2023;18:06:20;20;Sep;2023;18:10:02;221.8345139
21;Sep;2023;03:32:23;21;Sep;2023;03:35:51;207.6117772
21;Sep;2023;05:04:33;21;Sep;2023;05:08:19;225.7410791
21;Sep;2023;17:04:59;21;Sep;2023;17:09:31;272.6470583
22;Sep;2023;04:03:21;22;Sep;2023;04:07:53;271.8565262
22;Sep;2023;16:05:23;22;Sep;2023;16:07:35;132.1255576
22;Sep;2023;17:36:24;22;Sep;2023;17:40:40;256.1508143
23;Sep;2023;03:03:13;23;Sep;2023;03:05:18;125.5231225
23;Sep;2023;04:34:36;23;Sep;2023;04:38:54;258.4060592
23;Sep;2023;16:35:13;23;Sep;2023;16:39:27;254.3771539
23;Sep;2023;18:08:35;23;Sep;2023;18:10:58;142.3664194
24;Sep;2023;03:33:20;24;Sep;2023;03:37:31;251.1776345
24;Sep;2023;05:06:15;24;Sep;2023;05:08:43;148.2313428
24;Sep;2023;17:05:50;24;Sep;2023;17:10:23;272.4027982
25;Sep;2023;04:03:55;25;Sep;2023;04:08:28;272.5127001
25;Sep;2023;16:04:50;25;Sep;2023;16:08:23;212.9848332
25;Sep;2023;17:37:01;25;Sep;2023;17:40:37;216.5571254
26;Sep;2023;03:02:37;26;Sep;2023;03:06:03;206.620279
26;Sep;2023;04:34:44;26;Sep;2023;04:38:24;220.227997
26;Sep;2023;16:34:36;26;Sep;2023;16:39:07;271.1873398
27;Sep;2023;03:32:30;27;Sep;2023;03:36:58;268.6502942
27;Sep;2023;15:34:02;27;Sep;2023;15:36:05;123.1322295
27;Sep;2023;17:04:54;27;Sep;2023;17:09:09;255.5502908
28;Sep;2023;02:31:24;28;Sep;2023;02:33:13;109.0237096
28;Sep;2023;04:02:36;28;Sep;2023;04:06:53;256.9124496
28;Sep;2023;16:02:41;28;Sep;2023;16:06:50;249.3639364
28;Sep;2023;17:35:52;28;Sep;2023;17:38:22;150.3201865
29;Sep;2023;03:00:18;29;Sep;2023;03:04:21;243.4835475
29;Sep;2023;04:33:02;29;Sep;2023;04:35:39;156.5197769
29;Sep;2023;16:32:07;29;Sep;2023;16:36:38;271.5636865
30;Sep;2023;03:29:41;30;Sep;2023;03:34:11;270.0641778
30;Sep;2023;15:30:09;30;Sep;2023;15:33:26;196.732789
30;Sep;2023;17:02:01;30;Sep;2023;17:05:46;225.1666143
1;Oct;2023;02:27:23;1;Oct;2023;02:30:29;185.7232345
1;Oct;2023;03:59:15;1;Oct;2023;04:03:03;228.2143061
1;Oct;2023;15:58:37;1;Oct;2023;16:03:03;265.415982
2;Oct;2023;02:55:58;2;Oct;2023;03:00:18;260.3264119
2;Oct;2023;14:57:35;2;Oct;2023;14:58:17;42.11769174
2;Oct;2023;16:27:35;2;Oct;2023;16:31:55;260.9694549
3;Oct;2023;03:24:46;3;Oct;2023;03:29:06;260.8058843
3;Oct;2023;15:24:26;3;Oct;2023;15:28:18;231.6146444
3;Oct;2023;16:57:02;3;Oct;2023;17:00:04;182.375804
4;Oct;2023;02:21:27;4;Oct;2023;02:25:08;221.5984356
4;Oct;2023;03:53:45;4;Oct;2023;03:56:53;187.9316897
4;Oct;2023;15:52:26;4;Oct;2023;15:56:55;269.5071481
5;Oct;2023;02:49:26;5;Oct;2023;02:53:52;265.4254079
5;Oct;2023;14:49:43;5;Oct;2023;14:52:10;147.2684692
5;Oct;2023;16:20:49;5;Oct;2023;16:24:52;243.3939342
6;Oct;2023;01:46:18;6;Oct;2023;01:48:23;125.6357854
6;Oct;2023;03:17:33;6;Oct;2023;03:21:38;244.8557778
6;Oct;2023;15:16:32;6;Oct;2023;15:20:42;249.274645
6;Oct;2023;16:49:50;6;Oct;2023;16:51:55;124.841803
7;Oct;2023;02:13:15;7;Oct;2023;02:17:15;240.0661029
7;Oct;2023;03:45:59;7;Oct;2023;03:48:15;135.2691677
7;Oct;2023;15:43:55;7;Oct;2023;15:48:22;266.5957238
8;Oct;2023;02:40:33;8;Oct;2023;02:44:56;263.6393808
8;Oct;2023;14:40:00;8;Oct;2023;14:43:06;185.9945265
8;Oct;2023;16:11:39;8;Oct;2023;16:15:21;222.4722352
9;Oct;2023;01:36:18;9;Oct;2023;01:39:05;167.5757004
9;Oct;2023;03:07:55;9;Oct;2023;03:11:41;225.8880966
9;Oct;2023;15:06:16;9;Oct;2023;15:10:33;257.2055628
10;Oct;2023;02:02:37;10;Oct;2023;02:06:46;248.6775727
10;Oct;2023;03:35:56;10;Oct;2023;03:36:54;57.32292855
10;Oct;2023;15:32:54;10;Oct;2023;15:37:15;260.3588646
11;Oct;2023;02:29:06;11;Oct;2023;02:33:25;258.5598579
11;Oct;2023;14:27:54;11;Oct;2023;14:31:19;205.0602021
11;Oct;2023;15:59:53;11;Oct;2023;16:03:15;202.0450184
12;Oct;2023;01:23:50;12;Oct;2023;01:26:58;187.4370435
12;Oct;2023;02:55:39;12;Oct;2023;02:59:07;207.7848865
12;Oct;2023;14:53:24;12;Oct;2023;14:57:43;259.48539
13;Oct;2023;01:49:21;13;Oct;2023;01:53:33;251.4246522
13;Oct;2023;15:19:12;13;Oct;2023;15:23:26;253.7597613
14;Oct;2023;02:14:56;14;Oct;2023;02:19:09;253.0359861
14;Oct;2023;14:13:08;14;Oct;2023;14:16:41;212.6748894
14;Oct;2023;15:45:18;14;Oct;2023;15:48:24;186.4126645
15;Oct;2023;01:08:41;15;Oct;2023;01:11:56;194.7457269
15;Oct;2023;02:40:34;15;Oct;2023;02:43:49;194.673461
15;Oct;2023;14:37:45;15;Oct;2023;14:42:04;258.5672671
16;Oct;2023;01:33:16;16;Oct;2023;01:37:27;250.6057083
16;Oct;2023;15:02:35;16;Oct;2023;15:06:45;249.0522582
17;Oct;2023;01:57:52;17;Oct;2023;02:02:01;249.1061668
17;Oct;2023;13:55:32;17;Oct;2023;13:59:04;211.6462158
17;Oct;2023;15:27:41;17;Oct;2023;15:30:41;179.7458601
18;Oct;2023;00:50:38;18;Oct;2023;00:53:50;192.2680658
18;Oct;2023;02:22:28;18;Oct;2023;02:25:38;190.1100868
18;Oct;2023;14:19:08;18;Oct;2023;14:23:23;255.618226
19;Oct;2023;01:14:10;19;Oct;2023;01:18:17;247.1387153
19;Oct;2023;14:42:53;19;Oct;2023;14:47:01;247.4206553
20;Oct;2023;01:37:40;20;Oct;2023;01:41:48;247.6309601
20;Oct;2023;13:34:54;20;Oct;2023;13:38:16;201.8316159
20;Oct;2023;15:06:50;20;Oct;2023;15:09:54;184.2015988
21;Oct;2023;00:29:30;21;Oct;2023;00:32:29;179.2026855
21;Oct;2023;02:01:08;21;Oct;2023;02:04:23;195.4328598
21;Oct;2023;13:57:19;21;Oct;2023;14:01:30;250.3569986
22;Oct;2023;00:51:51;22;Oct;2023;00:55:52;240.3664172
22;Oct;2023;14:19:53;22;Oct;2023;14:24:01;248.4842097
23;Oct;2023;01:14:10;23;Oct;2023;01:18:18;247.8635652
23;Oct;2023;13:11:02;23;Oct;2023;13:14:01;179.5623238
23;Oct;2023;14:42:31;23;Oct;2023;14:45:49;198.223679
24;Oct;2023;00:05:05;24;Oct;2023;00:07:35;149.7312994
24;Oct;2023;01:36:21;24;Oct;2023;01:39:50;208.665604
24;Oct;2023;13:32:08;24;Oct;2023;13:36:09;240.597924
25;Oct;2023;00:26:07;25;Oct;2023;00:29:54;227.4740764
25;Oct;2023;01:58:50;25;Oct;2023;02:00:03;72.70014002
25;Oct;2023;13:53:21;25;Oct;2023;13:57:31;249.935522
26;Oct;2023;00:47:07;26;Oct;2023;00:51:14;247.0732729
26;Oct;2023;12:43:48;26;Oct;2023;12:46:00;132.3540001
26;Oct;2023;14:14:34;26;Oct;2023;14:18:11;217.1200677
26;Oct;2023;23:37:22;26;Oct;2023;23:38:39;77.45718209
27;Oct;2023;01:07:56;27;Oct;2023;01:11:41;225.0617149
27;Oct;2023;13:03:23;27;Oct;2023;13:07:04;221.1437487
27;Oct;2023;14:35:59;27;Oct;2023;14:37:56;116.9774276
27;Oct;2023;23:56:45;28;Oct;2023;00:00:06;201.8930833
28;Oct;2023;01:28:41;28;Oct;2023;01:31:07;146.8141114
28;Oct;2023;13:23:06;28;Oct;2023;13:27:13;247.177693
29;Oct;2023;00:16:17;29;Oct;2023;00:20:17;240.0170291
29;Oct;2023;13:42:46;29;Oct;2023;13:46:40;234.5763875
30;Oct;2023;00:35:37;30;Oct;2023;00:39:35;238.1352594
30;Oct;2023;12:30:53;30;Oct;2023;12:33:52;179.8304538
30;Oct;2023;14:02:22;30;Oct;2023;14:05:21;179.2616368
30;Oct;2023;23:23:35;30;Oct;2023;23:26:01;146.242325
31;Oct;2023;00:54:43;31;Oct;2023;00:58:00;197.0219715
31;Oct;2023;12:48:56;31;Oct;2023;12:52:48;232.1506613
31;Oct;2023;23:41:28;31;Oct;2023;23:45:05;217.2407675
1;Nov;2023;01:13:56;1;Nov;2023;01:15:08;71.82541445
1;Nov;2023;13:06:53;1;Nov;2023;13:10:56;242.7438701
1;Nov;2023;23:59:10;2;Nov;2023;00:03:10;239.4448118
2;Nov;2023;11:54:51;2;Nov;2023;11:55:48;57.11751797
2;Nov;2023;13:24:40;2;Nov;2023;13:28:21;220.3470509
3;Nov;2023;00:16:34;3;Nov;2023;00:20:22;228.7399356
3;Nov;2023;12:10:40;3;Nov;2023;12:13:48;188.0793365
3;Nov;2023;13:42:20;3;Nov;2023;13:44:56;155.7549934
3;Nov;2023;23:02:28;3;Nov;2023;23:05:04;155.9166932
4;Nov;2023;00:33:38;4;Nov;2023;00:36:40;181.9112593
4;Nov;2023;12:26:44;4;Nov;2023;12:30:34;229.8573179
4;Nov;2023;23:18:20;4;Nov;2023;23:21:55;215.2321703
5;Nov;2023;00:50:59;5;Nov;2023;00:51:29;30.03316949
5;Nov;2023;12:42:35;5;Nov;2023;12:46:32;237.6449181
5;Nov;2023;23:33:53;5;Nov;2023;23:37:48;234.9468265
6;Nov;2023;12:58:08;6;Nov;2023;13:01:46;217.7745392
6;Nov;2023;23:49:01;6;Nov;2023;23:52:48;227.1391538
7;Nov;2023;11:42:09;7;Nov;2023;11:44:58;168.6514159
7;Nov;2023;13:13:24;7;Nov;2023;13:16:09;164.4867659
7;Nov;2023;22:32:59;7;Nov;2023;22:35:03;124.6736241
8;Nov;2023;00:03:43;8;Nov;2023;00:06:54;190.934911
8;Nov;2023;11:55:50;8;Nov;2023;11:59:26;216.2189118
8;Nov;2023;22:46:22;8;Nov;2023;22:49:38;195.4877391
9;Nov;2023;00:18:09;9;Nov;2023;00:19:54;104.7307759
9;Nov;2023;12:09:11;9;Nov;2023;12:13:03;232.0442991
9;Nov;2023;22:59:24;9;Nov;2023;23:03:09;224.3710012
10;Nov;2023;12:22:06;10;Nov;2023;12:25:51;225.3177715
10;Nov;2023;23:11:55;10;Nov;2023;23:15:45;229.3407358
11;Nov;2023;11:04:34;11;Nov;2023;11:06:00;85.21955134
11;Nov;2023;12:34:33;11;Nov;2023;12:37:50;196.7688262
11;Nov;2023;23:23:52;11;Nov;2023;23:27:26;214.1716912
12;Nov;2023;11:15:14;12;Nov;2023;11:18:07;173.0923375
12;Nov;2023;12:46:34;12;Nov;2023;12:48:52;137.8401797
;;;;;;;;
;;;;;;;;
Number;of;events;:;211;;;;
